"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
1,1717683305284,"06/06/2024 14:15:05",1717686905284,1,"06/06/2024 16:15:05",180921,1,"questionnaire-wop8",NA,38089462,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 124.0.0.0","1440x900","1407x788",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICAB","Passed AC2",NA,"1-0",1,"SUPPRF74061"
1,1717683434667,"06/06/2024 14:17:14",1717669034667,-4,"06/06/2024 06:17:14",180921,1,"questionnaire-wop8",NA,38089531,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICAB","Passed AC2",NA,"1-0",1,"SUPPRF77309"
1,1717683456540,"06/06/2024 14:17:36",1717687056540,1,"06/06/2024 16:17:36",180921,1,"questionnaire-wop8",NA,38089561,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"Attention Check 2 (Clone)",1,"IAHBGCFDE","Passed AC2",NA,"1-0",1,"SUPPRF81844"
1,1717683705631,"06/06/2024 14:21:45",1717665705631,-5,"06/06/2024 04:21:45",180921,1,"questionnaire-wop8",NA,38089721,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1536x864","1536x738",NA,NA,0,"Attention Check 2 (Clone)",1,"ABICHDGEF","Passed AC2",NA,"1-0",1,"SUPPRF65174"
1,1717683951790,"06/06/2024 14:25:51",1717687551790,1,"06/06/2024 16:25:51",180921,1,"questionnaire-wop8",NA,38089876,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1792x1120","1792x999",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFIGH","Passed AC2",NA,"1-0",1,"SUPPRF51926"
1,1717683991166,"06/06/2024 14:26:31",1717687591166,1,"06/06/2024 16:26:31",180921,1,"questionnaire-wop8",NA,38089893,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHI","Passed AC2",NA,"1-0",1,"SUPPRF57187"
1,1717684104807,"06/06/2024 14:28:24",1717687704807,1,"06/06/2024 16:28:24",180921,1,"questionnaire-wop8",NA,38089949,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1512x982","1512x857",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADIEHFG","Passed AC2",NA,"1-0",1,"SUPPRF09024"
1,1717684262282,"06/06/2024 14:31:02",1717687862282,1,"06/06/2024 16:31:02",180921,1,"questionnaire-wop8",NA,38090029,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1280x720","1280x551",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICAB","Passed AC2",NA,"1-0",1,"SUPPRF87249"
1,1717684361997,"06/06/2024 14:32:41",1717687961997,1,"06/06/2024 16:32:41",180921,1,"questionnaire-wop8",NA,38090080,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFIEADBC","Passed AC2",NA,"1-0",1,"SUPPRF20639"
1,1717684999285,"06/06/2024 14:43:19",1717713799285,8,"07/06/2024 06:43:19",180921,1,"questionnaire-wop8",NA,38090329,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1707x1067","1707x932",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGAFBECD","Passed AC2",NA,"1-0",1,"SUPPRF70264"
1,1717685076923,"06/06/2024 14:44:36",1717667076923,-5,"06/06/2024 04:44:36",180921,1,"questionnaire-wop8",NA,38090357,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1536x960","1536x872",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIA","Passed AC2",NA,"1-0",1,"SUPPRF49113"
1,1717688349140,"06/06/2024 15:39:09",1717691949140,1,"06/06/2024 17:39:09",180921,1,"questionnaire-wop8",NA,38093186,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1920x1080","1920x959",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADIEHFG","Passed AC2",NA,"1-0",1,"SUPPRF69092"
1,1717689570771,"06/06/2024 15:59:30",1717693170771,1,"06/06/2024 17:59:30",180921,1,"questionnaire-wop8",NA,38094296,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1280x720","1280x593",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFIGH","Passed AC2",NA,"1",2,"SUPPRF36238"
1,1717692208162,"06/06/2024 16:43:28",1717695808162,1,"06/06/2024 18:43:28",180921,1,"questionnaire-wop8",NA,38095855,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 124.0.0.0","1440x900","1440x745",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIA","Passed AC2",NA,"1-0",1,"SUPPRF86700"
1,1717692215857,"06/06/2024 16:43:35",1717695815857,1,"06/06/2024 18:43:35",180921,1,"questionnaire-wop8",NA,38095857,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1600x900","1600x773",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHI","Passed AC2",NA,"1-0",1,"SUPPRF74270"
