"","Model","MAE","MSE","LOOIC","WAIC","R2"
"1","model 1","0.397152910200059","0.340456834238976","12365.4022000767","12047.61661799","0.659479644379465"
"2","model 2","0.384979843949227","0.325048443796033","12009.4299020452","11668.0189024172","0.674890909672168"
"3","model 3","0.333614103070775","0.237041063296667","10377.5794083054","9995.11092738471","0.762914710315984"
"4","model 4","0.334346570116432","0.238001768276008","10432.7268228769","10047.457449479","0.761953826091283"
"5","model 5","0.356159574934455","0.27064816406298","11199.4481910412","10811.7040153362","0.729301339240909"
"6","model 6","0.386631506738709","0.315316109546389","11965.4220002241","11613.2064931652","0.684625059750589"
"7","model 7","0.382562153506235","0.322491624142645","11913.5874424678","11599.1517668259","0.677448206369047"
"8","model 8","0.31575812264213","0.216418334720473","9798.00750596112","9399.82204107047","0.783541286616995"
