"","Model","MAE","MSE","LOOIC","WAIC","R2"
"1","model 1","0.317066724366905","0.212039573042381","9625.28366289147","9278.40415274671","0.787914399387963"
"2","model 2","0.306836030655802","0.201368283441897","9188.82771350869","8814.86274381525","0.798588005412303"
"3","model 3","0.305096876821792","0.19585132557104","9305.46045670792","8903.95459566876","0.804106160852835"
"4","model 4","0.311480643046076","0.203985078796412","9505.2485521922","9116.95831330517","0.795970642028298"
"5","model 5","0.348870718860885","0.253417756940908","10822.4758459842","10489.5686346723","0.746527233499827"
"6","model 6","0.310587491929799","0.203789800618593","9501.47980437869","9134.47529845174","0.79616596259528"
"7","model 7","0.297675910751665","0.194530069348797","8773.25358273215","8420.43461094778","0.805427703881035"
"8","model 8","0.279374246505667","0.171777033808301","8211.35380576392","7799.79055316903","0.82818567843793"
