"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1712946266492,"12/04/2024 18:24:26",1712921066492,-7,"12/04/2024 04:24:26",175580,1,"task-kvtv",NA,36976043,10904997,NA,"complete",NA,"661971045da025666c6f5a25","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x551",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"ABKCJDIEHFG","Passed AC2","","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF15657"
"2",1712946276011,"12/04/2024 18:24:36",1712921076011,-7,"12/04/2024 04:24:36",175580,1,"task-kvtv",NA,36976043,10904997,NA,"complete",NA,"661971045da025666c6f5a25","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x551",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"ABKCJDIEHFG","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",7662.6,7646,7662.6,7662.6,7646,7662.6,1,7662.6,0,0,NA,"Click To Continue","Continue Button",3,"object-60","Task Instructions",NA,"SUPPRF15657"
"3",1712946294947,"12/04/2024 18:24:54",1712921094947,-7,"12/04/2024 04:24:54",175580,1,"task-kvtv",NA,36976043,10904997,NA,"complete",NA,"661971045da025666c6f5a25","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x551",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"ABKCJDIEHFG","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",2,"continue","",18956.4000000119,18939.8,18956.4000000119,18956.4000000119,18939.8,18956.4000000119,1,18956.4000000119,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPPRF15657"
"4",1712946322483,"12/04/2024 18:25:22",1712921122483,-7,"12/04/2024 04:25:22",175580,1,"task-kvtv",NA,36976043,10904997,NA,"complete",NA,"661971045da025666c6f5a25","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x551",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"ABKCJDIEHFG","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",3,"continue","",27551.5,27534.9,27551.5,27551.5,27534.9,27551.5,1,27551.5,0,0,NA,"Click To Continue","Continue Button",3,"object-59","Task Instructions",NA,"SUPPRF15657"
"5",1712946342863,"12/04/2024 18:25:42",1712921142863,-7,"12/04/2024 04:25:42",175580,1,"task-kvtv",NA,36976043,10904997,NA,"complete",NA,"661971045da025666c6f5a25","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x551",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"ABKCJDIEHFG","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 3","1qtc8v",4,"continue","",20401.5000000238,20389,20401.5000000238,20401.5000000238,20389,20401.5000000238,1,20401.5000000238,0,0,NA,"Click To Continue","Continue Button",2,"object-2983","Task Instructions",NA,"SUPPRF15657"
"6",1712946363902,"12/04/2024 18:26:03",1712921163902,-7,"12/04/2024 04:26:03",175580,1,"task-kvtv",NA,36976043,10904997,NA,"complete",NA,"661971045da025666c6f5a25","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x551",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"ABKCJDIEHFG","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 12","1a4vu2",5,"continue","",21051.7000000119,21038.3,21051.7000000119,21051.7000000119,21038.3,21051.7000000119,1,21051.7000000119,0,0,NA,"Click To Continue","Continue Button",2,"object-2466","Task Instructions",NA,"SUPPRF15657"
"7",1712946375851,"12/04/2024 18:26:15",1712921175851,-7,"12/04/2024 04:26:15",175580,1,"task-kvtv",NA,36976043,10904997,NA,"complete",NA,"661971045da025666c6f5a25","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x551",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"ABKCJDIEHFG","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 13","q9vwda",6,"continue","",11962.1,11960,11962.1,11962.1,11960,11962.1,1,11962.1,0,0,NA,"Click To Continue","Continue Button",2,"object-2989","Task Instructions",NA,"SUPPRF15657"
"8",1712946384381,"12/04/2024 18:26:24",1712921184381,-7,"12/04/2024 04:26:24",175580,1,"task-kvtv",NA,36976043,10904997,NA,"complete",NA,"661971045da025666c6f5a25","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x551",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"ABKCJDIEHFG","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 11","oyulb7",7,"continue","",8532.80000001789,8528.60000000001,8532.80000001789,8532.80000001789,8528.60000000001,8532.80000001789,1,8532.80000001789,0,0,NA,"Click To Continue","Continue Button",2,"object-52","Task Instructions",NA,"SUPPRF15657"
"9",1712946434875,"12/04/2024 18:27:14",1712921234875,-7,"12/04/2024 04:27:14",175580,1,"task-kvtv",NA,36976043,10904997,NA,"complete",NA,"661971045da025666c6f5a25","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x551",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"ABKCJDIEHFG","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 5","8nvnao",8,"continue","",50494.3000000119,50489.4,50494.3000000119,50494.3000000119,50489.4,50494.3000000119,1,50494.3000000119,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Task Instructions",NA,"SUPPRF15657"
"10",1712946434912,"12/04/2024 18:27:14",1712921234912,-7,"12/04/2024 04:27:14",175580,1,"task-kvtv",NA,36976043,10904997,NA,"complete",NA,"661971045da025666c6f5a25","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x551",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"ABKCJDIEHFG","Passed AC2","","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF15657"
"11",1712946541750,"12/04/2024 18:29:01",1712921341750,-7,"12/04/2024 04:29:01",175580,1,"task-kvtv",NA,36976043,10904997,NA,"complete",NA,"661971045da025666c6f5a25","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x551",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"ABKCJDIEHFG","Passed AC2","","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF15657"
"12",1712946541760,"12/04/2024 18:29:01",1712921341760,-7,"12/04/2024 04:29:01",175580,1,"task-kvtv",NA,36976043,10904997,NA,"complete",NA,"661971045da025666c6f5a25","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x551",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"ABKCJDIEHFG","Passed AC2","","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF15657"
