"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
1,1722270189914,"29/07/2024 16:23:09",1722273789914,1,"29/07/2024 18:23:09",185160,1,"questionnaire-wop8",NA,39264016,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1728x1117","1728x982",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADIEHFG","Passed AC2","","1-0",1,"SUPPRF33328"
1,1722270352513,"29/07/2024 16:25:52",1722273952513,1,"29/07/2024 18:25:52",185160,1,"questionnaire-wop8",NA,39264157,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x779",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHI","Passed AC2","","1-0",1,"SUPPRF42289"
1,1722270546047,"29/07/2024 16:29:06",1722256146047,-4,"29/07/2024 08:29:06",185160,1,"questionnaire-wop8",NA,39264302,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIA","Passed AC2","","1-0",1,"SUPPRF82983"
1,1722270847181,"29/07/2024 16:34:07",1722274447181,1,"29/07/2024 18:34:07",185160,1,"questionnaire-wop8",NA,39264528,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1504x1003","1504x868",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICAB","Passed AC2","","1-0",1,"SUPPRF97636"
1,1722270932380,"29/07/2024 16:35:32",1722256532380,-4,"29/07/2024 08:35:32",185160,1,"questionnaire-wop8",NA,39264591,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x960","1536x843",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICAB","Passed AC2","","1-0",1,"SUPPRF03187"
1,1722270971148,"29/07/2024 16:36:11",1722274571148,1,"29/07/2024 18:36:11",185160,1,"questionnaire-wop8",NA,39264612,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGAFBECD","Passed AC2","","1-0",1,"SUPPRF90629"
1,1722270994213,"29/07/2024 16:36:34",1722274594213,1,"29/07/2024 18:36:34",185160,1,"questionnaire-wop8",NA,39264629,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1366x768","1366x683",NA,NA,0,"Attention Check 2 (Clone)",1,"ABICHDGEF","Passed AC2","","1-0",1,"SUPPRF52440"
1,1722271005961,"29/07/2024 16:36:45",1722274605961,1,"29/07/2024 18:36:45",185160,1,"questionnaire-wop8",NA,39264644,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 127.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 2 (Clone)",1,"ABICHDGEF","Passed AC2","","1-0",1,"SUPPRF84910"
1,1722271069007,"29/07/2024 16:37:49",1722274669007,1,"29/07/2024 18:37:49",185160,1,"questionnaire-wop8",NA,39264685,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1707x746",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHI","Passed AC2","","1-0",1,"SUPPRF27738"
1,1722271110776,"29/07/2024 16:38:30",1722274710776,1,"29/07/2024 18:38:30",185160,1,"questionnaire-wop8",NA,39264708,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1396x788",NA,NA,0,"Attention Check 2 (Clone)",1,"IAHBGCFDE","Passed AC2","","1-0",1,"SUPPRF62823"
