"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
1,1722274534476,"29/07/2024 17:35:34",1722278134476,1,"29/07/2024 19:35:34",185160,1,"task-8tuj",NA,39265730,NA,"rejected - time limit reached",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x695",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF23034"
2,1722274538116,"29/07/2024 17:35:38",1722278138116,1,"29/07/2024 19:35:38",185160,1,"task-8tuj",NA,39265730,NA,"rejected - time limit reached",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x695",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",3562.30000000596,3549.5,3562.30000000596,3562.30000000596,3549.5,3562.30000000596,1,3562.30000000596,0,0,NA,"Click To Continue","Continue Button",3,"object-60","Task Instructions",NA,"SUPPRF23034"
3,1722274553355,"29/07/2024 17:35:53",1722278153355,1,"29/07/2024 19:35:53",185160,1,"task-8tuj",NA,39265730,NA,"rejected - time limit reached",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x695",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",2,"continue","",15252.0000000089,15248.1,15252.0000000089,15252.0000000089,15248.1,15252.0000000089,1,15252.0000000089,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPPRF23034"
4,1722274567453,"29/07/2024 17:36:07",1722278167453,1,"29/07/2024 19:36:07",185160,1,"task-8tuj",NA,39265730,NA,"rejected - time limit reached",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x695",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",3,"continue","",14102.700000006,14098.2,14102.700000006,14102.700000006,14098.2,14102.700000006,1,14102.700000006,0,0,NA,"Click To Continue","Continue Button",3,"object-59","Task Instructions",NA,"SUPPRF23034"
5,1722274592014,"29/07/2024 17:36:32",1722278192014,1,"29/07/2024 19:36:32",185160,1,"task-8tuj",NA,39265730,NA,"rejected - time limit reached",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x695",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 3","1qtc8v",4,"continue","",24565.500000006,24563.3,24565.500000006,24565.500000006,24563.3,24565.500000006,1,24565.500000006,0,0,NA,"Click To Continue","Continue Button",2,"object-2983","Task Instructions",NA,"SUPPRF23034"
6,1722274635409,"29/07/2024 17:37:15",1722278235409,1,"29/07/2024 19:37:15",185160,1,"task-8tuj",NA,39265730,NA,"rejected - time limit reached",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x695",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 12","1a4vu2",5,"continue","",43396.9000000089,43394.4,43396.9000000089,43396.9000000089,43394.4,43396.9000000089,1,43396.9000000089,0,0,NA,"Click To Continue","Continue Button",2,"object-2466","Task Instructions",NA,"SUPPRF23034"
7,1722274640701,"29/07/2024 17:37:20",1722278240701,1,"29/07/2024 19:37:20",185160,1,"task-8tuj",NA,39265730,NA,"rejected - time limit reached",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x695",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 13","q9vwda",6,"continue","",5293.30000000595,5282.59999999999,5293.30000000595,5293.30000000595,5282.59999999999,5293.30000000595,1,5293.30000000595,0,0,NA,"Click To Continue","Continue Button",2,"object-2989","Task Instructions",NA,"SUPPRF23034"
8,1722274645326,"29/07/2024 17:37:25",1722278245326,1,"29/07/2024 19:37:25",185160,1,"task-8tuj",NA,39265730,NA,"rejected - time limit reached",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x695",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 11","oyulb7",7,"continue","",4635.8,4632.8,4635.8,4635.8,4632.8,4635.8,1,4635.8,0,0,NA,"Click To Continue","Continue Button",2,"object-52","Task Instructions",NA,"SUPPRF23034"
9,1722274648144,"29/07/2024 17:37:28",1722278248144,1,"29/07/2024 19:37:28",185160,1,"task-8tuj",NA,39265730,NA,"rejected - time limit reached",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x695",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 5","8nvnao",8,"continue","",2821.60000000894,2816.39999999999,2821.60000000894,2821.60000000894,2816.39999999999,2821.60000000894,1,2821.60000000894,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Task Instructions",NA,"SUPPRF23034"
10,1722274648149,"29/07/2024 17:37:28",1722278248149,1,"29/07/2024 19:37:28",185160,1,"task-8tuj",NA,39265730,NA,"rejected - time limit reached",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x695",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",3,"ABICHDGEF","Passed AC2","","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF23034"
