"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
1,1722269661575,"29/07/2024 16:14:21",1722273261575,1,"29/07/2024 18:14:21",185160,1,"questionnaire-xamc",NA,39263661,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1728x1117","1728x982",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADIEHFG","Passed AC2","",1,2,"SUPPRF33328"
1,1722269965165,"29/07/2024 16:19:25",1722273565165,1,"29/07/2024 18:19:25",185160,1,"questionnaire-xamc",NA,39263869,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x779",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHI","Passed AC2","",1,2,"SUPPRF42289"
1,1722269991464,"29/07/2024 16:19:51",1722255591464,-4,"29/07/2024 08:19:51",185160,1,"questionnaire-xamc",NA,39263887,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIA","Passed AC2","",1,2,"SUPPRF82983"
1,1722270060407,"29/07/2024 16:21:00",1722273660407,1,"29/07/2024 18:21:00",185160,1,"questionnaire-xamc",NA,39263927,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1504x1003","1504x868",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICAB","Passed AC2","",1,2,"SUPPRF97636"
1,1722270210162,"29/07/2024 16:23:30",1722273810162,1,"29/07/2024 18:23:30",185160,1,"questionnaire-xamc",NA,39264021,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGAFBECD","Passed AC2","",1,2,"SUPPRF90629"
1,1722270254216,"29/07/2024 16:24:14",1722273854216,1,"29/07/2024 18:24:14",185160,1,"questionnaire-xamc",NA,39264077,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 127.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 1 (Clone)",1,"ABICHDGEF","Passed AC2","",1,2,"SUPPRF84910"
1,1722270359040,"29/07/2024 16:25:59",1722273959040,1,"29/07/2024 18:25:59",185160,1,"questionnaire-xamc",NA,39264162,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1707x746",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHI","Passed AC2","",1,2,"SUPPRF27738"
1,1722270364583,"29/07/2024 16:26:04",1722273964583,1,"29/07/2024 18:26:04",185160,1,"questionnaire-xamc",NA,39264166,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x593",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADIEHFG","Failed AC2","Passed AC1",1,2,"SUPPRF00984"
1,1722270363949,"29/07/2024 16:26:03",1722273963949,1,"29/07/2024 18:26:03",185160,1,"questionnaire-xamc",NA,39264174,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 127.0.0.0","1920x1080","1920x945",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFIGH","Passed AC2","",1,2,"SUPPRF64792"
1,1722270400601,"29/07/2024 16:26:40",1722256000601,-4,"29/07/2024 08:26:40",185160,1,"questionnaire-xamc",NA,39264197,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x960","1536x843",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICAB","Passed AC2","",1,2,"SUPPRF03187"
