"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.af8t","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks..video.and.audio.recordings...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that....a..I.understand.the.inclusion.criteria.as.detailed.in.the.Study.Description..b..I.meet.these.criteria..and.do.not.meet.any.of.the.exclusion.criteria..c..I.do.not.have.current.or.past.experiences.of.psychosis.or.neurological.conditions....I.Agree.","Consent.Form.object.2.I.confirm.that.I.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1702487668226,"13/12/2023 17:14:28",1702487668226,0,"13/12/2023 17:14:28",157047,5,"questionnaire-s6dh",NA,33645103,9958209,NA,"complete",NA,"6579e646f74df15ba94f1587","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1710x1107","1710x886",NA,NA,0,"Consent (Clone)",7,"ABJCIDHEGF","Passed AC2","","Self_focused_attention_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF51148"
"1",1702488074887,"13/12/2023 17:21:14",1702488074887,0,"13/12/2023 17:21:14",157047,5,"questionnaire-s6dh",NA,33645395,9958278,NA,"complete",NA,"6579e7aa4b52396e491c9cc6","computer","Desktop or Laptop","Linux x86_64","Chrome 119.0.0.0","1205x753","1205x618",NA,NA,0,"Consent (Clone)",7,"BCADJEIFHG","Passed AC2","","External_attention_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF08809"
"1",1702488251640,"13/12/2023 17:24:11",1702488251640,0,"13/12/2023 17:24:11",157047,5,"questionnaire-s6dh",NA,33645511,9958307,NA,"complete",NA,"6579e89cc6dc7b0ff36ab9aa","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x813",NA,NA,0,"Consent (Clone)",7,"DECFBGAHJI","Passed AC2","","Self_focused_attention_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF66414"
"1",1702488785825,"13/12/2023 17:33:05",1702488785825,0,"13/12/2023 17:33:05",157047,5,"questionnaire-s6dh",NA,33645857,9958344,NA,"complete",NA,"6579ea92ae350e915f9413a3","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1366x768","1366x644",NA,NA,0,"Consent (Clone)",7,"CDBEAFJGIH","Passed AC2","","External_attention_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF71393"
"1",1702489355143,"13/12/2023 17:42:35",1702489355143,0,"13/12/2023 17:42:35",157047,5,"questionnaire-s6dh",NA,33646130,9958387,NA,"complete",NA,"6579ecf0453e501981a47e1d","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","2560x1440","2560x1323",NA,NA,0,"Consent (Clone)",7,"EFDGCHBIAJ","Passed AC2","","External_attention_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF30141"
"1",1702490433477,"13/12/2023 18:00:33",1702490433477,0,"13/12/2023 18:00:33",157047,5,"questionnaire-s6dh",NA,33646586,9958457,NA,"complete",NA,"6579f1191916bca7b797b451","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x815",NA,NA,0,"Consent (Clone)",7,"GHFIEJDACB","Passed AC2","","External_attention_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF37742"
"1",1702490678902,"13/12/2023 18:04:38",1702490678902,0,"13/12/2023 18:04:38",157047,5,"questionnaire-s6dh",NA,33646673,9958474,NA,"complete",NA,"6579f21df61fd8d35f99f228","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1366x768","1366x611",NA,NA,0,"Consent (Clone)",7,"HIGJFAEBDC","Passed AC2","","Self_focused_attention_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF23841"
"1",1702491046623,"13/12/2023 18:10:46",1702491046623,0,"13/12/2023 18:10:46",157047,5,"questionnaire-s6dh",NA,33646804,9958507,NA,"complete",NA,"6579f394d70dff89928ee832","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1440x960","1440x825",NA,NA,0,"Consent (Clone)",7,"IJHAGBFCED","Passed AC2","","Self_focused_attention_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF21120"
"1",1702491765669,"13/12/2023 18:22:45",1702491765669,0,"13/12/2023 18:22:45",157047,5,"questionnaire-s6dh",NA,33647068,9958565,NA,"complete",NA,"6579f6656ceae4a140d7284a","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x739",NA,NA,0,"Consent (Clone)",7,"CDBEAFJGIH","Passed AC2","","External_attention_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF14695"
"1",1702492269248,"13/12/2023 18:31:09",1702492269248,0,"13/12/2023 18:31:09",157047,5,"questionnaire-s6dh",NA,33647270,9958617,NA,"complete",NA,"6579f7be45eebb6b2b8eea0f","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x747",NA,NA,0,"Consent (Clone)",7,"DECFBGAHJI","Passed AC2","","Self_focused_attention_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF33974"
