"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.af8t","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1702487712654,"13/12/2023 17:15:12",1702487712654,0,"13/12/2023 17:15:12",157047,5,"questionnaire-xamc",NA,33645141,9958209,NA,"complete",NA,"6579e646f74df15ba94f1587","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1710x1107","1710x886",NA,NA,0,"Attention Check 1 (Clone)",1,"ABJCIDHEGF","Passed AC2","","Self_focused_attention_first","1","2","SUPPRF51148"
"1",1702488097651,"13/12/2023 17:21:37",1702488097651,0,"13/12/2023 17:21:37",157047,5,"questionnaire-xamc",NA,33645408,9958278,NA,"complete",NA,"6579e7aa4b52396e491c9cc6","computer","Desktop or Laptop","Linux x86_64","Chrome 119.0.0.0","1205x753","1205x618",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADJEIFHG","Passed AC2","","External_attention_first","1","2","SUPPRF08809"
"1",1702489025623,"13/12/2023 17:37:05",1702489025623,0,"13/12/2023 17:37:05",157047,5,"questionnaire-xamc",NA,33645980,9958307,NA,"complete",NA,"6579e89cc6dc7b0ff36ab9aa","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHJI","Passed AC2","","Self_focused_attention_first","1","2","SUPPRF66414"
"1",1702488833506,"13/12/2023 17:33:53",1702488833506,0,"13/12/2023 17:33:53",157047,5,"questionnaire-xamc",NA,33645886,9958344,NA,"complete",NA,"6579ea92ae350e915f9413a3","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1366x768","1366x644",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFJGIH","Passed AC2","","External_attention_first","1","2","SUPPRF71393"
"1",1702489399569,"13/12/2023 17:43:19",1702489399569,0,"13/12/2023 17:43:19",157047,5,"questionnaire-xamc",NA,33646153,9958387,NA,"complete",NA,"6579ecf0453e501981a47e1d","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","2560x1440","2560x1323",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","External_attention_first","1","2","SUPPRF30141"
"1",1702489665759,"13/12/2023 17:47:45",1702489665759,0,"13/12/2023 17:47:45",157047,5,"questionnaire-xamc",NA,33646270,9958403,NA,"complete",NA,"6579ede741c407c8885ec577","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1280x720","1280x551",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICJBA","Passed AC2","","Self_focused_attention_first","1","2","SUPPRF78779"
"1",1702490482072,"13/12/2023 18:01:22",1702490482072,0,"13/12/2023 18:01:22",157047,5,"questionnaire-xamc",NA,33646605,9958457,NA,"complete",NA,"6579f1191916bca7b797b451","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x815",NA,NA,0,"Attention Check 1 (Clone)",1,"GHFIEJDACB","Passed AC2","","External_attention_first","1","2","SUPPRF37742"
"1",1702490764160,"13/12/2023 18:06:04",1702490764160,0,"13/12/2023 18:06:04",157047,5,"questionnaire-xamc",NA,33646702,9958474,NA,"complete",NA,"6579f21df61fd8d35f99f228","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1366x768","1366x611",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGJFAEBDC","Passed AC2","","Self_focused_attention_first","1","2","SUPPRF23841"
"1",1702491106376,"13/12/2023 18:11:46",1702491106376,0,"13/12/2023 18:11:46",157047,5,"questionnaire-xamc",NA,33646827,9958507,NA,"complete",NA,"6579f394d70dff89928ee832","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1440x960","1440x825",NA,NA,0,"Attention Check 1 (Clone)",1,"IJHAGBFCED","Passed AC2","","Self_focused_attention_first","1","2","SUPPRF21120"
"1",1702491659891,"13/12/2023 18:20:59",1702491659891,0,"13/12/2023 18:20:59",157047,5,"questionnaire-xamc",NA,33647035,9958550,NA,"complete",NA,"6579f4c9a63d54420e4e3405","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1800x911",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADJEIFHG","Passed AC2","","External_attention_first","1","2","SUPPRF76142"
"1",1702491817751,"13/12/2023 18:23:37",1702491817751,0,"13/12/2023 18:23:37",157047,5,"questionnaire-xamc",NA,33647083,9958565,NA,"complete",NA,"6579f6656ceae4a140d7284a","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x739",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFJGIH","Passed AC2","","External_attention_first","1","2","SUPPRF14695"
"1",1702492312289,"13/12/2023 18:31:52",1702492312289,0,"13/12/2023 18:31:52",157047,5,"questionnaire-xamc",NA,33647286,9958617,NA,"complete",NA,"6579f7be45eebb6b2b8eea0f","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x747",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHJI","Passed AC2","","Self_focused_attention_first","1","2","SUPPRF33974"
