"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.af8t","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1702488347461,"13/12/2023 17:25:47",1702488347461,0,"13/12/2023 17:25:47",157047,5,"task-psw4",NA,33645583,9958209,NA,"complete",NA,"6579e646f74df15ba94f1587","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1710x1107","1710x886",NA,NA,0,"Task",1,"ABJCIDHEGF","Passed AC2","","Self_focused_attention_first","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF51148"
"2",1702488350903,"13/12/2023 17:25:50",1702488350903,0,"13/12/2023 17:25:50",157047,5,"task-psw4",NA,33645583,9958209,NA,"complete",NA,"6579e646f74df15ba94f1587","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1710x1107","1710x886",NA,NA,0,"Task",1,"ABJCIDHEGF","Passed AC2","","Self_focused_attention_first","Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",3287.37200001192,3283.202,3287.37200001192,3287.37200001192,3283.202,3287.37200001192,1,3287.37200001192,0,0,NA,"Click To Continue","Continue Button",2,"object-1944","Task Instructions",NA,"SUPPRF51148"
"3",1702488354848,"13/12/2023 17:25:54",1702488354848,0,"13/12/2023 17:25:54",157047,5,"task-psw4",NA,33645583,9958209,NA,"complete",NA,"6579e646f74df15ba94f1587","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1710x1107","1710x886",NA,NA,0,"Task",1,"ABJCIDHEGF","Passed AC2","","Self_focused_attention_first","Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",2,"continue","",3949.26999997616,3933.176,3949.26999997616,3949.26999997616,3933.176,3949.26999997616,1,3949.26999997616,0,0,NA,"Click To Continue","Continue Button",2,"object-7","Task Instructions",NA,"SUPPRF51148"
"4",1702488357560,"13/12/2023 17:25:57",1702488357560,0,"13/12/2023 17:25:57",157047,5,"task-psw4",NA,33645583,9958209,NA,"complete",NA,"6579e646f74df15ba94f1587","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1710x1107","1710x886",NA,NA,0,"Task",1,"ABJCIDHEGF","Passed AC2","","Self_focused_attention_first","Spreadsheet1",1,"Task Instructions","Screen 3","1qtc8v",3,"continue","",2728.49400001192,2716.976,2728.49400001192,2728.49400001192,2716.976,2728.49400001192,1,2728.49400001192,0,0,NA,"Click To Continue","Continue Button",2,"object-52","Task Instructions",NA,"SUPPRF51148"
"5",1702488360200,"13/12/2023 17:26:00",1702488360200,0,"13/12/2023 17:26:00",157047,5,"task-psw4",NA,33645583,9958209,NA,"complete",NA,"6579e646f74df15ba94f1587","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1710x1107","1710x886",NA,NA,0,"Task",1,"ABJCIDHEGF","Passed AC2","","Self_focused_attention_first","Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",4,"continue","",2649.894,2633.228,2649.894,2649.894,2633.228,2649.894,1,2649.894,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPPRF51148"
"6",1702488362582,"13/12/2023 17:26:02",1702488362582,0,"13/12/2023 17:26:02",157047,5,"task-psw4",NA,33645583,9958209,NA,"complete",NA,"6579e646f74df15ba94f1587","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1710x1107","1710x886",NA,NA,0,"Task",1,"ABJCIDHEGF","Passed AC2","","Self_focused_attention_first","Spreadsheet1",1,"Task Instructions","Screen 5","8nvnao",5,"continue","",2399.904,2383.238,2399.904,2399.904,2383.238,2399.904,1,2399.904,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Task Instructions",NA,"SUPPRF51148"
"7",1702488362585,"13/12/2023 17:26:02",1702488362585,0,"13/12/2023 17:26:02",157047,5,"task-psw4",NA,33645583,9958209,NA,"complete",NA,"6579e646f74df15ba94f1587","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1710x1107","1710x886",NA,NA,0,"Task",1,"ABJCIDHEGF","Passed AC2","","Self_focused_attention_first","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF51148"
"1",1702488879605,"13/12/2023 17:34:39",1702488879605,0,"13/12/2023 17:34:39",157047,5,"task-psw4",NA,33645914,9958278,NA,"complete",NA,"6579e7aa4b52396e491c9cc6","computer","Desktop or Laptop","Linux x86_64","Chrome 119.0.0.0","1205x753","1205x618",NA,NA,0,"Task",1,"BCADJEIFHG","Passed AC2","","External_attention_first","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF08809"
"2",1702489067335,"13/12/2023 17:37:47",1702489067335,0,"13/12/2023 17:37:47",157047,5,"task-psw4",NA,33645914,9958278,NA,"complete",NA,"6579e7aa4b52396e491c9cc6","computer","Desktop or Laptop","Linux x86_64","Chrome 119.0.0.0","1205x753","1205x618",NA,NA,0,"Task",1,"BCADJEIFHG","Passed AC2","","External_attention_first","Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",187616.639,187600.054,187616.639,187616.639,187600.054,187616.639,1,187616.639,0,0,NA,"Click To Continue","Continue Button",2,"object-1944","Task Instructions",NA,"SUPPRF08809"
"3",1702489071597,"13/12/2023 17:37:51",1702489071597,0,"13/12/2023 17:37:51",157047,5,"task-psw4",NA,33645914,9958278,NA,"complete",NA,"6579e7aa4b52396e491c9cc6","computer","Desktop or Laptop","Linux x86_64","Chrome 119.0.0.0","1205x753","1205x618",NA,NA,0,"Task",1,"BCADJEIFHG","Passed AC2","","External_attention_first","Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",2,"continue","",4298.51999999999,4281.867,4298.51999999999,4298.51999999999,4281.867,4298.51999999999,1,4298.51999999999,0,0,NA,"Click To Continue","Continue Button",2,"object-7","Task Instructions",NA,"SUPPRF08809"
