"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1695828007862,"27/09/2023 15:20:07",1695813607862,-4,"27/09/2023 07:20:07",144636,4,"questionnaire-xamc",NA,31899680,9432753,NA,"complete","tmiiem","3KXIR214IAF2E5FYGLNULQB88YR42J","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGJFAEBDC","Passed AC2","","1","2","SUPAMT54273"
"1",1695828018540,"27/09/2023 15:20:18",1695813618540,-4,"27/09/2023 07:20:18",144636,4,"questionnaire-xamc",NA,31899702,9432771,NA,"complete","rpvtpu","37TRT2X24WQM50YF2L39SL3VK1UBJJ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"IJHAGBFCED","Passed AC2","","1","2","SUPAMT40213"
"1",1695828065274,"27/09/2023 15:21:05",1695813665274,-4,"27/09/2023 07:21:05",144636,4,"questionnaire-xamc",NA,31899768,9432772,NA,"complete","uzorbn","3LO69W1SU9COR7UQLS709B7K43RGL7","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1600x751",NA,NA,0,"Attention Check 1 (Clone)",1,"ABJCIDHEGF","Failed AC2","Passed AC1","1","2","SUPAMT33061"
"1",1695828070080,"27/09/2023 15:21:10",1695813670080,-4,"27/09/2023 07:21:10",144636,4,"questionnaire-xamc",NA,31899780,9432749,NA,"complete","yyptyb","3LEP4MGT3MZ92EYNSPHYPN8IFHXBD5","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"JAIBHCGDFE","Passed AC2","","1","2","SUPAMT54803"
"1",1695849881706,"27/09/2023 21:24:41",1695835481706,-4,"27/09/2023 13:24:41",144636,4,"questionnaire-xamc",NA,31899949,9432828,NA,"complete","dkblrs","34MAJL3QPAMRZNBHKL1Z40G0ECR43U","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADJEIFHG","Failed AC2","Passed AC1","1","2","SUPAMT97320"
"1",1695828316097,"27/09/2023 15:25:16",1695813916097,-4,"27/09/2023 07:25:16",144636,4,"questionnaire-xamc",NA,31900000,9432831,NA,"complete","urshml","3BEFOD78WCSSL9JRQ36E0ZP6E38M4S","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFJGIH","Passed AC2","","1","2","SUPAMT16874"
"1",1695828482136,"27/09/2023 15:28:02",1695814082136,-4,"27/09/2023 07:28:02",144636,4,"questionnaire-xamc",NA,31900072,9432754,NA,"complete","avudal","39K0FND3ANE7NYZ8Z4G5D2B66D4AMR","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHJI","Passed AC2","","1","2","SUPAMT43564"
"1",1695828619149,"27/09/2023 15:30:19",1695814219149,-4,"27/09/2023 07:30:19",144636,4,"questionnaire-xamc",NA,31900138,9432855,NA,"complete","zmhkod","3J2UYBXQQRB9XIGYKMCVZ0277RE06H","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","1","2","SUPAMT01454"
"1",1695828784384,"27/09/2023 15:33:04",1695814384384,-4,"27/09/2023 07:33:04",144636,4,"questionnaire-xamc",NA,31900228,9432865,NA,"complete","ersade","3R2PKQ87N27MTGI6BS8IU0ZPJLAIM4","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1280x800","1280x651",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICJBA","Passed AC2","","1","2","SUPAMT59156"
"1",1695828842717,"27/09/2023 15:34:02",1695814442717,-4,"27/09/2023 07:34:02",144636,4,"questionnaire-xamc",NA,31900280,9432860,NA,"complete","mfmdym","36AHBNMV1XB5FMRY2HVIXY6J0QFYD7","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"GHFIEJDACB","Passed AC2","","1","2","SUPAMT00201"
