"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID_new"
"1",1718028434526,"10/06/2024 14:07:14",1718032034526,1,"10/06/2024 16:07:14",180348,1,"task-7hcp",NA,38154014,11220758,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPLCM24387"
"2",1718028473242,"10/06/2024 14:07:53",1718032073242,1,"10/06/2024 16:07:53",180348,1,"task-7hcp",NA,38154014,11220758,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",38734.3,38717.6,38734.3,38734.3,38717.6,38734.3,1,38734.3,0,0,NA,"Click To Continue","Continue Button",16,"object-48","BIQ",NA,"SUPLCM24387"
"3",1718028473245,"10/06/2024 14:07:53",1718032073245,1,"10/06/2024 16:07:53",180348,1,"task-7hcp",NA,38154014,11220758,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","6",32934.2,38717.6,38734.3,32934.2,38717.6,38734.3,1,32934.2,5800.1,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPLCM24387"
"4",1718028473245,"10/06/2024 14:07:53",1718032073245,1,"10/06/2024 16:07:53",180348,1,"task-7hcp",NA,38154014,11220758,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","2",36884.2,38717.6,38734.3,36884.2,38717.6,38734.3,1,36884.2,1850.1,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPLCM24387"
"5",1718028486786,"10/06/2024 14:08:06",1718032086786,1,"10/06/2024 16:08:06",180348,1,"task-7hcp",NA,38154014,11220758,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","svpz34",2,"continue","",13564.6999999821,13550.3,13564.6999999821,13564.6999999821,13550.3,13564.6999999821,1,13564.6999999821,0,0,NA,"Click To Continue","Continue Button",7,"object-1017","BIQ",NA,"SUPLCM24387"
"6",1718028486789,"10/06/2024 14:08:06",1718032086789,1,"10/06/2024 16:08:06",180348,1,"task-7hcp",NA,38154014,11220758,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","svpz34",2,"response","1",6633.5,13550.3,13567,6633.5,13550.3,13567,1,6633.5,6933.50000000001,0,NA,"Rating Scale","Rating Scale",8,"object-118","BIQ",NA,"SUPLCM24387"
"7",1718028486790,"10/06/2024 14:08:06",1718032086790,1,"10/06/2024 16:08:06",180348,1,"task-7hcp",NA,38154014,11220758,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","svpz34",2,"response","2",11316.8,13550.3,13567,11316.8,13550.3,13567,1,11316.8,2250.2,0,NA,"Rating Scale","Rating Scale",10,"object-121","BIQ",NA,"SUPLCM24387"
"8",1718028500953,"10/06/2024 14:08:20",1718032100953,1,"10/06/2024 16:08:20",180348,1,"task-7hcp",NA,38154014,11220758,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","o21mwi",3,"continue","",14181.4999999762,14166.8,14181.4999999762,14181.4999999762,14166.8,14181.4999999762,1,14181.4999999762,0,0,NA,"Click To Continue","Continue Button",15,"object-50","BIQ",NA,"SUPLCM24387"
"9",1718028500955,"10/06/2024 14:08:20",1718032100955,1,"10/06/2024 16:08:20",180348,1,"task-7hcp",NA,38154014,11220758,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","o21mwi",3,"response","1",4632.6,14166.8,14183.3,4632.6,14166.8,14183.3,1,4632.6,9550.7,0,NA,"Rating Scale","Rating Scale",2,"object-36","BIQ",NA,"SUPLCM24387"
"10",1718028500956,"10/06/2024 14:08:20",1718032100956,1,"10/06/2024 16:08:20",180348,1,"task-7hcp",NA,38154014,11220758,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","o21mwi",3,"response","7",13250.3,14166.8,14183.3,13250.3,14166.8,14183.3,1,13250.3,933,0,NA,"Rating Scale","Rating Scale",9,"object-86","BIQ",NA,"SUPLCM24387"
"11",1718028513352,"10/06/2024 14:08:33",1718032113352,1,"10/06/2024 16:08:33",180348,1,"task-7hcp",NA,38154014,11220758,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 4","iz3the",4,"continue","",12414.0999999821,12400.4,12414.0999999821,12414.0999999821,12400.4,12414.0999999821,1,12414.0999999821,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPLCM24387"
"12",1718028513355,"10/06/2024 14:08:33",1718032113355,1,"10/06/2024 16:08:33",180348,1,"task-7hcp",NA,38154014,11220758,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 4","iz3the",4,"response","0",4283.10000000001,12400.4,12417,4283.10000000001,12400.4,12417,1,4283.10000000001,8133.90000000001,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"SUPLCM24387"
"13",1718028513355,"10/06/2024 14:08:33",1718032113355,1,"10/06/2024 16:08:33",180348,1,"task-7hcp",NA,38154014,11220758,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 4","iz3the",4,"response","4",8633.5,12400.4,12417,8633.5,12400.4,12417,1,8633.5,3783.50000000001,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"SUPLCM24387"
"14",1718028513355,"10/06/2024 14:08:33",1718032113355,1,"10/06/2024 16:08:33",180348,1,"task-7hcp",NA,38154014,11220758,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 4","iz3the",4,"response","3",11700.4,12400.4,12417,11700.4,12400.4,12417,1,11700.4,716.600000000006,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"SUPLCM24387"
"15",1718028513361,"10/06/2024 14:08:33",1718032113361,1,"10/06/2024 16:08:33",180348,1,"task-7hcp",NA,38154014,11220758,NA,"complete",NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",5,"ABICHDGEF","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPLCM24387"
"1",1718359393967,"14/06/2024 10:03:13",1718362993967,1,"14/06/2024 12:03:13",180348,1,"task-7hcp",NA,38250089,11245520,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1280x720","1283x554",NA,NA,0,"BIQ (Charlotte)",5,"BCADIEHFG","Passed AC2",NA,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPLCM46030"
