"","Submission.id","Status","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Mild.cognitive.impairment.dementia","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Random_ID"
"11","65806774d3cea6a43bd2f3ef","AWAITING REVIEW","2023-12-18T15:38:28.907000Z","2023-12-18T16:31:37.705000Z",NA,"2023-12-18T16:31:38.398434Z",3189,"C6UC3A24",8,"English, German","No","25","Female","White","Germany","United Kingdom","Germany","German","No","Other","SUPPRF88256"
"12","6580686d9e7b46f2f294403c","AWAITING REVIEW","2023-12-18T15:42:57.976000Z","2023-12-18T16:43:17.913000Z",NA,"2023-12-18T16:43:18.428359Z",3620,"C6UC3A24",692,"English","No","22","Male","Black","United States","United States","United States","English","No","Full-Time","SUPPRF59973"
"13","658069be0a0dbef3a5667951","AWAITING REVIEW","2023-12-18T15:48:28.887000Z","2023-12-18T16:37:12.641000Z",NA,"2023-12-18T16:37:13.106529Z",2924,"C6UC3A24",630,"English","No","22","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","SUPPRF55208"
"14","65806c0cc57d45b66f49fac6","AWAITING REVIEW","2023-12-18T15:58:12.598000Z","2023-12-18T16:48:24.362000Z",NA,"2023-12-18T16:48:24.896614Z",3012,"C6UC3A24",54,"English","No","19","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","SUPPRF14988"
"15","65806ce4e3b5ca342d8f0c03","AWAITING REVIEW","2023-12-18T16:03:37.799000Z","2023-12-18T16:49:12.559000Z",NA,"2023-12-18T16:49:13.016934Z",2735,"C6UC3A24",312,"English","No","22","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","DATA_EXPIRED","SUPPRF73473"
"16","65806da7424a91527e7826d2","AWAITING REVIEW","2023-12-18T16:05:37.983000Z","2023-12-18T17:35:19.071000Z",NA,"2023-12-18T17:35:19.534191Z",5382,"C6UC3A24",352,"English","No","24","Female","Black","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF28513"
"17","658071685d69e26ddbce8a46","AWAITING REVIEW","2023-12-18T16:21:01.178000Z","2023-12-18T17:04:11.157000Z",NA,"2023-12-18T17:04:11.673515Z",2590,"C6UC3A24",33,"English, Spanish, Portuguese","No","24","Male","White","Portugal","United States","Portugal","English","No","Full-Time","SUPPRF12889"
"18","658072ea580295f0112e8f6c","AWAITING REVIEW","2023-12-18T16:29:00.450000Z","2023-12-18T17:23:48.245000Z",NA,"2023-12-18T17:23:48.802091Z",3288,"C6UC3A24",195,"English","No","20","Male","Black","Nigeria","United Kingdom","Nigeria","English","Yes","Full-Time","SUPPRF54311"
"19","658076dbc51193ed63d0c6e4","AWAITING REVIEW","2023-12-18T16:44:15.846000Z","2023-12-18T17:53:04.131000Z",NA,"2023-12-18T17:53:04.576749Z",4129,"C6UC3A24",21,"English","No","22","Female","Black","United States","United States","United States","English","Yes","Part-Time","SUPPRF77346"
"20","6580795f9122dd1ad09df217","AWAITING REVIEW","2023-12-18T17:00:10.204000Z","2023-12-18T17:55:09.163000Z",NA,"2023-12-18T17:55:09.930378Z",3299,"C6UC3A24",359,"English","No","25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF36491"
"21","6580828b46e0e08413c64921","AWAITING REVIEW","2023-12-18T17:35:16.052000Z","2023-12-18T18:40:45.459000Z",NA,"2023-12-18T18:40:45.962997Z",3930,"C6UC3A24",344,"English","No","23","Female","Mixed","United States","United States","United States","English","Yes","Unemployed (and job seeking)","SUPPRF63407"
"22","658082c131deaff8f45da1ff","AWAITING REVIEW","2023-12-18T17:42:28.104000Z","2023-12-18T18:47:14.681000Z",NA,"2023-12-18T18:47:15.394383Z",3887,"C6UC3A24",334,"English, Bengali","No","20","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","Yes","DATA_EXPIRED","SUPPRF45302"
"23","65808e63d9216ba48305ef0b","AWAITING REVIEW","2023-12-18T18:24:43.888000Z","2023-12-18T19:13:54.884000Z",NA,"2023-12-18T19:13:55.347999Z",2951,"C6UC3A24",4,"English","No","19","Male","Asian","United States","United States","Philippines","English","Yes","Unemployed (and job seeking)","SUPPRF78576"
"24","65809058b567e63f933e871d","AWAITING REVIEW","2023-12-18T18:33:05.534000Z","2023-12-18T20:35:00.601000Z",NA,"2023-12-18T20:35:01.035097Z",7316,"NOCODE",1963,"English","No","24","Male","Black","United States","United States","United States","English","Yes","Part-Time","SUPPRF07128"
"25","6580b7dab3d43e4e65846cb6","AWAITING REVIEW","2023-12-18T21:22:41.631000Z","2023-12-18T22:07:34.253000Z",NA,"2023-12-18T22:07:35.330968Z",2693,"C6UC3A24",236,"English","No","25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF65935"
"26","658068d20118cc5a6217a5c5","RETURNED","2023-12-18T15:54:18.462000Z","",NA,"",NA,"",1514,"CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","SUPPRF65760"
"27","65807063c4ef63e67c93039f","RETURNED","2023-12-18T16:16:42.439000Z","",NA,"",NA,"",790,"CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","CONSENT_REVOKED","SUPPRF99843"
