"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.huxg","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks..video.and.audio.recordings...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that....a..I.understand.the.inclusion.criteria.as.detailed.in.the.Study.Description..b..I.meet.these.criteria..and.do.not.meet.any.of.the.exclusion.criteria..c..I.do.not.have.current.or.past.experiences.of.psychosis.or.neurological.conditions....I.Agree.","Consent.Form.object.2.I.confirm.that.I.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1709591442286,"04/03/2024 22:30:42",1709573442286,-5,"04/03/2024 12:30:42",169741,4,"questionnaire-s6dh",NA,35776819,10574280,NA,"complete",NA,"65e64b52f9f8081d35583afc","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x779",NA,NA,0,"Consent (Clone)",7,"FGEHDICJBA","Passed AC2","","Chocking_second","1","1","1","1","1","1","1","1","1","1","1","SUPPRF37753"
"1",1709591595303,"04/03/2024 22:33:15",1709566395303,-7,"04/03/2024 08:33:15",169741,4,"questionnaire-s6dh",NA,35776884,10574304,NA,"complete",NA,"65e64b2a2145f01e32079d47","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x695",NA,NA,0,"Consent (Clone)",7,"GHFIEJDACB","Passed AC2","","Chocking_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF92597"
"1",1709592240089,"04/03/2024 22:44:00",1709570640089,-6,"04/03/2024 10:44:00",169741,4,"questionnaire-s6dh",NA,35777145,10574387,NA,"complete",NA,"65e64e9cb565be2330ac88b6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x755",NA,NA,0,"Consent (Clone)",7,"HIGJFAEBDC","Passed AC2","","Chocking_second","1","1","1","1","1","1","1","1","1","1","1","SUPPRF34430"
"1",1709595342827,"04/03/2024 23:35:42",1709577342827,-5,"04/03/2024 13:35:42",169741,4,"questionnaire-s6dh",NA,35778107,10574687,NA,"complete",NA,"65e65a80664e178c63ea8756","computer","Desktop or Laptop","Mac OS 10.12.6","Chrome 103.0.0.0","1440x900","1440x821",NA,NA,0,"Consent (Clone)",7,"JAIBHCGDFE","Passed AC2","","Chocking_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF59808"
"1",1709596638112,"04/03/2024 23:57:18",1709575038112,-6,"04/03/2024 11:57:18",169741,4,"questionnaire-s6dh",NA,35778430,10574778,NA,"complete",NA,"65e65fcecd1bf3d6ab95810f","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1440x960","1440x825",NA,NA,0,"Consent (Clone)",7,"BCADJEIFHG","Passed AC2","","Chocking_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF78419"
"1",1709596675761,"04/03/2024 23:57:55",1709575075761,-6,"04/03/2024 11:57:55",169741,4,"questionnaire-s6dh",NA,35778435,10574783,NA,"complete",NA,"65e65f24664e178c63ea88e2","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x707",NA,NA,0,"Consent (Clone)",7,"ABJCIDHEGF","Passed AC2","","Chocking_second","1","1","1","1","1","1","1","1","1","1","1","SUPPRF52537"
"1",1709596936127,"05/03/2024 00:02:16",1709568136127,-8,"04/03/2024 08:02:16",169741,4,"questionnaire-s6dh",NA,35778494,10574802,NA,"complete",NA,"65e660eed6fc4fd464e57536","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x813",NA,NA,0,"Consent (Clone)",7,"CDBEAFJGIH","Passed AC2","","Chocking_second","1","1","1","1","1","1","1","1","1","1","1","SUPPRF17352"
"1",1709597697198,"05/03/2024 00:14:57",1709576097198,-6,"04/03/2024 12:14:57",169741,4,"questionnaire-s6dh",NA,35778718,10574867,NA,"complete",NA,"65e663ee0ea25196de91304e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1512x982","1512x823",NA,NA,0,"Consent (Clone)",7,"DECFBGAHJI","Passed AC2","","Chocking_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF97186"
"1",1709602113530,"05/03/2024 01:28:33",1709576913530,-7,"04/03/2024 11:28:33",169741,4,"questionnaire-s6dh",NA,35779726,10575067,NA,"complete",NA,"65e67529e19c3d282826d353","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x1024","1536x889",NA,NA,0,"Consent (Clone)",7,"EFDGCHBIAJ","Passed AC2","","Chocking_second","1","1","1","1","1","1","1","1","1","1","1","SUPPRF28263"
"1",1709603821197,"05/03/2024 01:57:01",1709585821197,-5,"04/03/2024 15:57:01",169741,4,"questionnaire-s6dh",NA,35780217,10575130,NA,"complete",NA,"65e67bd1d1c2a29c4b6f07de","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x813",NA,NA,0,"Consent (Clone)",7,"GHFIEJDACB","Passed AC2","","Chocking_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF00120"
