"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.huxg","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1709575480206,"04/03/2024 18:04:40",1709575480206,0,"04/03/2024 18:04:40",169741,4,"task-v7r7",NA,35765282,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",3,"BCADJEIFHG","Passed AC2","","Chocking_second","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF45961"
"2",1709575487352,"04/03/2024 18:04:47",1709575487352,0,"04/03/2024 18:04:47",169741,4,"task-v7r7",NA,35765282,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",3,"BCADJEIFHG","Passed AC2","","Chocking_second","Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",7075.80000002384,7073.2,7075.80000002384,7075.80000002384,7073.2,7075.80000002384,1,7075.80000002384,0,0,NA,"Click To Continue","Continue Button",3,"object-60","Task Instructions",NA,"SUPPRF45961"
"3",1709575494776,"04/03/2024 18:04:54",1709575494776,0,"04/03/2024 18:04:54",169741,4,"task-v7r7",NA,35765282,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",3,"BCADJEIFHG","Passed AC2","","Chocking_second","Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",2,"continue","",7426.90000003576,7417.2,7426.90000003576,7426.90000003576,7417.2,7426.90000003576,1,7426.90000003576,0,0,NA,"Click To Continue","Continue Button",3,"object-59","Task Instructions",NA,"SUPPRF45961"
"4",1709575500808,"04/03/2024 18:05:00",1709575500808,0,"04/03/2024 18:05:00",169741,4,"task-v7r7",NA,35765282,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",3,"BCADJEIFHG","Passed AC2","","Chocking_second","Spreadsheet1",1,"Task Instructions","Screen 3","1qtc8v",3,"continue","",6041.8,6033.9,6041.8,6041.8,6033.9,6041.8,1,6041.8,0,0,NA,"Click To Continue","Continue Button",2,"object-2983","Task Instructions",NA,"SUPPRF45961"
"5",1709575507044,"04/03/2024 18:05:07",1709575507044,0,"04/03/2024 18:05:07",169741,4,"task-v7r7",NA,35765282,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",3,"BCADJEIFHG","Passed AC2","","Chocking_second","Spreadsheet1",1,"Task Instructions","Screen 12","1a4vu2",4,"continue","",6244.20000001192,6228.2,6244.20000001192,6244.20000001192,6228.2,6244.20000001192,1,6244.20000001192,0,0,NA,"Click To Continue","Continue Button",2,"object-2466","Task Instructions",NA,"SUPPRF45961"
"6",1709575512050,"04/03/2024 18:05:12",1709575512050,0,"04/03/2024 18:05:12",169741,4,"task-v7r7",NA,35765282,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",3,"BCADJEIFHG","Passed AC2","","Chocking_second","Spreadsheet1",1,"Task Instructions","Screen 13","q9vwda",5,"continue","",5021.80000002384,5014,5021.80000002384,5021.80000002384,5014,5021.80000002384,1,5021.80000002384,0,0,NA,"Click To Continue","Continue Button",2,"object-2989","Task Instructions",NA,"SUPPRF45961"
"7",1709575514884,"04/03/2024 18:05:14",1709575514884,0,"04/03/2024 18:05:14",169741,4,"task-v7r7",NA,35765282,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",3,"BCADJEIFHG","Passed AC2","","Chocking_second","Spreadsheet1",1,"Task Instructions","Screen 11","oyulb7",6,"continue","",2841.60000003576,2839.7,2841.60000003576,2841.60000003576,2839.7,2841.60000003576,1,2841.60000003576,0,0,NA,"Click To Continue","Continue Button",2,"object-52","Task Instructions",NA,"SUPPRF45961"
"8",1709575518139,"04/03/2024 18:05:18",1709575518139,0,"04/03/2024 18:05:18",169741,4,"task-v7r7",NA,35765282,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",3,"BCADJEIFHG","Passed AC2","","Chocking_second","Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",7,"continue","",3256.69999998808,3244.7,3256.69999998808,3256.69999998808,3244.7,3256.69999998808,1,3256.69999998808,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPPRF45961"
"9",1709575520965,"04/03/2024 18:05:20",1709575520965,0,"04/03/2024 18:05:20",169741,4,"task-v7r7",NA,35765282,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",3,"BCADJEIFHG","Passed AC2","","Chocking_second","Spreadsheet1",1,"Task Instructions","Screen 5","8nvnao",8,"continue","",2837.60000001192,2823.60000000001,2837.60000001192,2837.60000001192,2823.60000000001,2837.60000001192,1,2837.60000001192,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Task Instructions",NA,"SUPPRF45961"
"10",1709575520968,"04/03/2024 18:05:20",1709575520968,0,"04/03/2024 18:05:20",169741,4,"task-v7r7",NA,35765282,10571657,NA,"complete",NA,"65e60a883f4af7de914390c8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",3,"BCADJEIFHG","Passed AC2","","Chocking_second","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF45961"
