"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Rating.Scale.object.2.Fear.of.embarrassment.causes.me.to.avoid.doing.things.or.speaking.to.people.","Rating.Scale.object.2.Fear.of.embarrassment.causes.me.to.avoid.doing.things.or.speaking.to.people..Quantised","Rating.Scale.object.2.I.avoid.activities.in.which.I.am.the.center.of.attention.","Rating.Scale.object.2.I.avoid.activities.in.which.I.am.the.center.of.attention..Quantised","Rating.Scale.object.2.Being.embarrassed.or.looking.stupid.are.among.my.worst.fears.","Rating.Scale.object.2.Being.embarrassed.or.looking.stupid.are.among.my.worst.fears..Quantised","Score..SPINScore","X","Random_ID_new"
"1",1718723084974,"18/06/2024 15:04:44",1718726684974,1,"18/06/2024 17:04:44",180348,2,"questionnaire-4h2a",NA,38357169,11274195,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"Mini-SPIN",2,"ABICHDGEF","Passed AC2","","1","2","2","3","3","4","6",7,"SUPLCM91602"
"1",1718794100561,"19/06/2024 10:48:20",1718797700561,1,"19/06/2024 12:48:20",180348,2,"questionnaire-4h2a",NA,38371133,11278148,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x960","1536x826",NA,NA,0,"Mini-SPIN",2,"BCADIEHFG","Passed AC2","","3","4","3","4","3","4","9",16,"SUPLCM50909"
"1",1719321164040,"25/06/2024 13:12:44",1719324764040,1,"25/06/2024 15:12:44",180348,2,"questionnaire-4h2a",NA,38483732,11311607,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x559",NA,NA,0,"Mini-SPIN",2,"CDBEAFIGH","Passed AC2","","1","2","2","3","1","2","4",17,"SUPLCM79155"
"1",1719396957261,"26/06/2024 10:15:57",1719400557261,1,"26/06/2024 12:15:57",180348,2,"questionnaire-4h2a",NA,38506834,11316808,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x788",NA,NA,0,"Mini-SPIN",2,"DECFBGAHI","Passed AC2","","2","3","3","4","2","3","7",18,"SUPLCM01588"
"1",1719495230706,"27/06/2024 13:33:50",1719498830706,1,"27/06/2024 15:33:50",180348,2,"questionnaire-4h2a",NA,38536710,11323000,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x813",NA,NA,0,"Mini-SPIN",2,"EFDGCHBIA","Passed AC2","","3","4","3","4","3","4","9",19,"SUPLCM05151"
"1",1719576482740,"28/06/2024 12:08:02",1719587282740,3,"28/06/2024 18:08:02",180348,2,"questionnaire-4h2a",NA,38566004,11330934,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x738",NA,NA,0,"Mini-SPIN",2,"FGEHDICAB","Passed AC2","","1","2","1","2","3","4","5",20,"SUPLCM31721"
"1",1719828361120,"01/07/2024 10:06:01",1719831961120,1,"01/07/2024 12:06:01",180348,2,"questionnaire-4h2a",NA,38642256,11341646,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1512x982","1512x858",NA,NA,0,"Mini-SPIN",2,"GHFIEADBC","Passed AC2","","3","4","3","4","2","3","8",21,"SUPLCM34679"
"1",1720018757407,"03/07/2024 14:59:17",1720022357407,1,"03/07/2024 16:59:17",180348,2,"questionnaire-4h2a",NA,38733062,11367090,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x788",NA,NA,0,"Mini-SPIN",2,"ABICHDGEF","Passed AC2","","1","2","1","2","2","3","4",23,"SUPLCM20104"
"1",1720526655771,"09/07/2024 12:04:15",1720530255771,1,"09/07/2024 14:04:15",180348,2,"questionnaire-4h2a",NA,38832621,11394042,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 124.0.0.0","1440x900","1440x722",NA,NA,0,"Mini-SPIN",2,"BCADIEHFG","Passed AC2","","1","2","1","2","1","2","3",24,"SUPLCM96648"
"1",1721740175368,"23/07/2024 13:09:35",1721743775368,1,"23/07/2024 15:09:35",180348,2,"questionnaire-4h2a",NA,39147832,11486639,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1351x673",NA,NA,0,"Mini-SPIN",2,"CDBEAFIGH","Passed AC2","","3","4","3","4","3","4","9",25,"SUPLCM65569"
"1",1721990241185,"26/07/2024 10:37:21",1721993841185,1,"26/07/2024 12:37:21",180348,2,"questionnaire-4h2a",NA,39214423,11503602,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 127.0.0.0","1707x1067","1707x898",NA,NA,0,"Mini-SPIN",2,"EFDGCHBIA","Passed AC2","","2","3","2","3","3","4","7",27,"SUPLCM14619"
"1",1722352118660,"30/07/2024 15:08:38",1722355718660,1,"30/07/2024 17:08:38",180348,2,"questionnaire-4h2a",NA,39280900,11519698,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 127.0.0.0","1536x960","1536x825",NA,NA,0,"Mini-SPIN",2,"FGEHDICAB","Passed AC2","","1","2","2","3","1","2","4",28,"SUPLCM14738"
