"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID_new"
"1",1718793688291,"19/06/2024 10:41:28",1718797288291,1,"19/06/2024 12:41:28",180348,2,"questionnaire-xamc",NA,38370814,11278148,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x960","1536x826",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADIEHFG","Passed AC2","","1","2","SUPLCM50909"
"1",1719396272295,"26/06/2024 10:04:32",1719399872295,1,"26/06/2024 12:04:32",180348,2,"questionnaire-xamc",NA,38506494,11316808,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x788",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHI","Passed AC2","","1","2","SUPLCM01588"
"1",1719493085530,"27/06/2024 12:58:05",1719496685530,1,"27/06/2024 14:58:05",180348,2,"questionnaire-xamc",NA,38535855,11323000,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIA","Passed AC2","","1","2","SUPLCM05151"
"1",1719922146794,"02/07/2024 12:09:06",1719925746794,1,"02/07/2024 14:09:06",180348,2,"questionnaire-xamc",NA,38675273,11355075,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x728",NA,NA,0,"Attention Check 1 (Clone)",1,"IAHBGCFDE","Failed AC2","Passed AC1","1","2","SUPLCM16544"
"1",1722351604673,"30/07/2024 15:00:04",1722355204673,1,"30/07/2024 17:00:04",180348,2,"questionnaire-xamc",NA,39280581,11519698,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 127.0.0.0","1536x960","1536x825",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICAB","Passed AC2","","1","2","SUPLCM14738"
"1",1722956980871,"06/08/2024 15:09:40",1722942580871,-4,"06/08/2024 07:09:40",180348,2,"questionnaire-xamc",NA,39410930,11551348,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x701",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGAFBECD","Passed AC2","","1","2","SUPLCM41800"
"1",1724155239602,"20/08/2024 12:00:39",1724158839602,1,"20/08/2024 14:00:39",180348,2,"questionnaire-xamc",NA,39627122,11603019,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 127.0.0.0","1504x1003","1504x876",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHI","Passed AC2","","1","2",NA
"1",1725032144418,"30/08/2024 15:35:44",1725039344418,2,"30/08/2024 19:35:44",180348,2,"questionnaire-xamc",NA,39795365,11642910,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 128.0.0.0","1440x960","1440x872",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICAB","Passed AC2","","1","2",NA
"1",1725289314042,"02/09/2024 15:01:54",1725296514042,2,"02/09/2024 19:01:54",180348,2,"questionnaire-xamc",NA,39841337,11652421,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1470x956","1470x747",NA,NA,0,"Attention Check 1 (Clone)",1,"GHFIEADBC","Passed AC2","","1","2",NA
"1",1725365466004,"03/09/2024 12:11:06",1725369066004,1,"03/09/2024 14:11:06",180348,2,"questionnaire-xamc",NA,39855663,11655644,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1440x900","1436x728",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGAFBECD","Passed AC2","","1","2",NA
"1",1725876069013,"09/09/2024 10:01:09",1725879669013,1,"09/09/2024 12:01:09",180348,2,"questionnaire-xamc",NA,39958565,11679805,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1440x900","1309x707",NA,NA,0,"Attention Check 1 (Clone)",1,"IAHBGCFDE","Passed AC2","","1","2",NA
"1",1727191709326,"24/09/2024 15:28:29",1727195309326,1,"24/09/2024 17:28:29",180348,2,"questionnaire-xamc",NA,40235533,11746139,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 128.0.0.0","1280x720","1280x585",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHI","Passed AC2","","1","2",NA
