"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks..video.and.audio.recordings...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that....a..I.understand.the.inclusion.criteria.as.detailed.in.the.Study.Description..b..I.meet.these.criteria..and.do.not.meet.any.of.the.exclusion.criteria..c..I.do.not.have.current.or.past.experiences.of.psychosis.or.neurological.conditions....I.Agree.","Consent.Form.object.2.I.confirm.that.I.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID_new"
"1",1718722972828,"18/06/2024 15:02:52",1718726572828,1,"18/06/2024 17:02:52",180348,2,"questionnaire-s6dh",NA,38357085,11274195,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"Consent (Clone)",7,"ABICHDGEF","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPLCM91602"
"1",1725876019521,"09/09/2024 10:00:19",1725879619521,1,"09/09/2024 12:00:19",180348,2,"questionnaire-s6dh",NA,39958545,11679805,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1440x900","1309x707",NA,NA,0,"Consent (Clone)",7,"IAHBGCFDE","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1",NA
"1",1727190424308,"24/09/2024 15:07:04",1727194024308,1,"24/09/2024 17:07:04",180348,2,"questionnaire-s6dh",NA,40234614,11745960,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1920x1080","1339x844",NA,NA,0,"Consent (Clone)",7,"CDBEAFIGH","Failed AC2","Passed AC1","1","1","1","1","1","1","1","1","1","1","1",NA
"1",1727882858302,"02/10/2024 15:27:38",1727886458302,1,"02/10/2024 17:27:38",180348,2,"questionnaire-s6dh",NA,40405835,11790140,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1200x665",NA,NA,0,"Consent (Clone)",7,"FGEHDICAB","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1",NA
"1",1727956628132,"03/10/2024 11:57:08",1727960228132,1,"03/10/2024 13:57:08",180348,2,"questionnaire-s6dh",NA,40419034,11793856,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","636x681",NA,NA,0,"Consent (Clone)",7,"GHFIEADBC","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1",NA
"1",1728315067936,"07/10/2024 15:31:07",1728318667936,1,"07/10/2024 17:31:07",180348,2,"questionnaire-s6dh",NA,40481072,11810550,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1470x956","842x655",NA,NA,0,"Consent (Clone)",7,"BCADIEHFG","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1",NA
"1",1728467873142,"09/10/2024 09:57:53",1728471473142,1,"09/10/2024 11:57:53",180348,2,"questionnaire-s6dh",NA,40515539,11820759,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x812",NA,NA,0,"Consent (Clone)",7,"CDBEAFIGH","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1",NA
"1",1728487892399,"09/10/2024 15:31:32",1728491492399,1,"09/10/2024 17:31:32",180348,2,"questionnaire-s6dh",NA,40522413,11823042,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1347x582",NA,NA,0,"Consent (Clone)",7,"EFDGCHBIA","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1",NA
"1",1730285706398,"30/10/2024 10:55:06",1730285706398,0,"30/10/2024 10:55:06",180348,2,"questionnaire-s6dh",NA,41001205,11972640,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 130.0.0.0","1440x900","1440x812",NA,NA,0,"Consent (Clone)",7,"HIGAFBECD","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1",NA
"1",1718793600735,"19/06/2024 10:40:00",1718797200735,1,"19/06/2024 12:40:00",180348,2,"questionnaire-s6dh",NA,38370780,11278148,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x960","1536x826",NA,NA,0,"Consent (Clone)",7,"BCADIEHFG","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPLCM50909"
