"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","X","Random_ID_new"
"1",1728488736586,"09/10/2024 15:45:36",1728492336586,1,"09/10/2024 17:45:36",180348,2,"questionnaire-wop8",NA,40522738,11823042,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1488x643",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIA","Passed AC2","","1-0","1",14,"SUPLCM36211"
"1",1728660869252,"11/10/2024 15:34:29",1728664469252,1,"11/10/2024 17:34:29",180348,2,"questionnaire-wop8",NA,40565637,11835855,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1680x1050","1674x926",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICAB","Passed AC2","","1-0","1",46,"SUPLCM81485"
"1",1730286339985,"30/10/2024 11:05:39",1730286339985,0,"30/10/2024 11:05:39",180348,2,"questionnaire-wop8",NA,41001431,11972640,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 130.0.0.0","1440x900","1440x812",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGAFBECD","Passed AC2","","1","2",15,"SUPLCM64805"
"1",1718723395421,"18/06/2024 15:09:55",1718726995421,1,"18/06/2024 17:09:55",180348,2,"questionnaire-wop8",NA,38357403,11274195,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"Attention Check 2 (Clone)",1,"ABICHDGEF","Passed AC2","","1","2",7,"SUPLCM91602"
"1",1718794428392,"19/06/2024 10:53:48",1718798028392,1,"19/06/2024 12:53:48",180348,2,"questionnaire-wop8",NA,38371367,11278148,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x960","1536x826",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADIEHFG","Passed AC2","","1-0","1",16,"SUPLCM50909"
"1",1719495291090,"27/06/2024 13:34:51",1719498891090,1,"27/06/2024 15:34:51",180348,2,"questionnaire-wop8",NA,38536749,11323000,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIA","Passed AC2","","1-0","1",19,"SUPLCM05151"
"1",1719576703645,"28/06/2024 12:11:43",1719587503645,3,"28/06/2024 18:11:43",180348,2,"questionnaire-wop8",NA,38566330,11330934,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x738",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICAB","Passed AC2","","1-0","1",20,"SUPLCM31721"
"1",1719923154415,"02/07/2024 12:25:54",1719926754415,1,"02/07/2024 14:25:54",180348,2,"questionnaire-wop8",NA,38676296,11355075,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x728",NA,NA,0,"Attention Check 2 (Clone)",1,"IAHBGCFDE","Failed AC2","Passed AC1","0-2","3",22,"SUPLCM16544"
"1",1720019397866,"03/07/2024 15:09:57",1720022997866,1,"03/07/2024 17:09:57",180348,2,"questionnaire-wop8",NA,38733245,11367090,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x788",NA,NA,0,"Attention Check 2 (Clone)",1,"ABICHDGEF","Passed AC2","","1-0","1",23,"SUPLCM20104"
"1",1720526988870,"09/07/2024 12:09:48",1720530588870,1,"09/07/2024 14:09:48",180348,2,"questionnaire-wop8",NA,38832881,11394042,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 124.0.0.0","1440x900","1440x722",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADIEHFG","Passed AC2","","1-0","1",24,"SUPLCM96648"
