"","Status","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Mild.cognitive.impairment.dementia","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Random_ID"
"21","AWAITING REVIEW","2023-12-13T19:20:38.508000Z","2023-12-13T20:16:14.090000Z",NA,"2023-12-13T20:16:14.546919Z",3336,"C6UC3A24",364,"English","No","20","Female","Mixed","United States","United States","United States","English","Yes","DATA_EXPIRED","SUPPRF15646"
"22","AWAITING REVIEW","2023-12-13T19:21:06.476000Z","2023-12-13T20:03:29.716000Z",NA,"2023-12-13T20:03:30.386978Z",2544,"C6UC3A24",488,"English","No","24","Female","White","United States","United States","United States","English","No","Full-Time","SUPPRF96766"
"23","AWAITING REVIEW","2023-12-13T19:35:02.173000Z","2023-12-13T20:39:05.633000Z",NA,"2023-12-13T20:39:06.320129Z",3844,"C6UC3A24",127,"English","No","25","Male","Mixed","United States","United States","United States","English","Yes","Part-Time","SUPPRF30509"
"24","AWAITING REVIEW","2023-12-13T19:51:53.583000Z","2023-12-13T20:37:47.874000Z",NA,"2023-12-13T20:37:48.420005Z",2755,"C6UC3A24",15,"English","No","22","Female","Mixed","United States","United States","United States","English","No","Full-Time","SUPPRF71127"
"25","AWAITING REVIEW","2023-12-13T19:49:51.748000Z","2023-12-13T20:39:47.822000Z",NA,"2023-12-13T20:39:48.266299Z",2997,"C6UC3A24",92,"English, Vietnamese","No","24","Female","Asian","Vietnam","United States","Vietnam","Vietnamese","No","Unemployed (and job seeking)","SUPPRF05707"
"26","AWAITING REVIEW","2023-12-13T19:52:26.671000Z","2023-12-13T20:42:55.067000Z",NA,"2023-12-13T20:42:55.496679Z",3029,"C6UC3A24",27,"English, Hindi","No","22","Male","Asian","India","United States","India","Telugu","Yes","Part-Time","SUPPRF85554"
"27","AWAITING REVIEW","2023-12-13T19:55:20.085000Z","2023-12-13T20:48:36.985000Z",NA,"2023-12-13T20:48:37.795533Z",3197,"C6UC3A24",31,"Bengali, English","No","23","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","SUPPRF18856"
"28","AWAITING REVIEW","2023-12-13T20:05:12.028000Z","2023-12-13T20:19:37.162000Z",NA,"2023-12-13T20:19:37.727386Z",866,"NOCODE",13,"Spanish, English","No","22","Male","White","United States","United States","United States","English","Yes","Unemployed (and job seeking)",NA
"29","AWAITING REVIEW","2023-12-13T20:13:56.782000Z","2023-12-13T20:57:41.679000Z",NA,"2023-12-13T20:57:42.147343Z",2625,"C6UC3A24",42,"English","No","22","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)","SUPPRF23580"
"30","AWAITING REVIEW","2023-12-13T20:16:31.162000Z","2023-12-13T20:52:42.382000Z",NA,"2023-12-13T20:52:42.953339Z",2172,"C6UC3A24",140,"English","No","24","Female","Black","United States","United States","United States","English","Yes","Other","SUPPRF67062"
