"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.af8t","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1702488337337,"13/12/2023 17:25:37",1702488337337,0,"13/12/2023 17:25:37",157047,5,"questionnaire-wop8",NA,33645572,9958209,NA,"complete",NA,"6579e646f74df15ba94f1587","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1710x1107","1710x886",NA,NA,0,"Attention Check 2 (Clone)",1,"ABJCIDHEGF","Passed AC2","","Self_focused_attention_first","1-0","1","SUPPRF51148"
"1",1702488865278,"13/12/2023 17:34:25",1702488865278,0,"13/12/2023 17:34:25",157047,5,"questionnaire-wop8",NA,33645905,9958278,NA,"complete",NA,"6579e7aa4b52396e491c9cc6","computer","Desktop or Laptop","Linux x86_64","Chrome 119.0.0.0","1205x753","1205x618",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADJEIFHG","Passed AC2","","External_attention_first","1-0","1","SUPPRF08809"
"1",1702489751111,"13/12/2023 17:49:11",1702489751111,0,"13/12/2023 17:49:11",157047,5,"questionnaire-wop8",NA,33646313,9958307,NA,"complete",NA,"6579e89cc6dc7b0ff36ab9aa","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHJI","Passed AC2","","Self_focused_attention_first","1-0","1","SUPPRF66414"
"1",1702489210055,"13/12/2023 17:40:10",1702489210055,0,"13/12/2023 17:40:10",157047,5,"questionnaire-wop8",NA,33646076,9958344,NA,"complete",NA,"6579ea92ae350e915f9413a3","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1366x768","1366x644",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFJGIH","Passed AC2","","External_attention_first","1-0","1","SUPPRF71393"
"1",1702489809892,"13/12/2023 17:50:09",1702489809892,0,"13/12/2023 17:50:09",157047,5,"questionnaire-wop8",NA,33646345,9958387,NA,"complete",NA,"6579ecf0453e501981a47e1d","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","2560x1440","2560x1323",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","External_attention_first","1-0","1","SUPPRF30141"
"1",1702490220680,"13/12/2023 17:57:00",1702490220680,0,"13/12/2023 17:57:00",157047,5,"questionnaire-wop8",NA,33646510,9958403,NA,"complete",NA,"6579ede741c407c8885ec577","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1280x720","1280x720",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICJBA","Passed AC2","","Self_focused_attention_first","1-0","1","SUPPRF78779"
"1",1702490874835,"13/12/2023 18:07:54",1702490874835,0,"13/12/2023 18:07:54",157047,5,"questionnaire-wop8",NA,33646743,9958457,NA,"complete",NA,"6579f1191916bca7b797b451","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x815",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFIEJDACB","Passed AC2","","External_attention_first","1-0","1","SUPPRF37742"
"1",1702491375201,"13/12/2023 18:16:15",1702491375201,0,"13/12/2023 18:16:15",157047,5,"questionnaire-wop8",NA,33646922,9958474,NA,"complete",NA,"6579f21df61fd8d35f99f228","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1366x768","1366x611",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGJFAEBDC","Passed AC2","","Self_focused_attention_first","1-0","1","SUPPRF23841"
"1",1702491662482,"13/12/2023 18:21:02",1702491662482,0,"13/12/2023 18:21:02",157047,5,"questionnaire-wop8",NA,33647034,9958507,NA,"complete",NA,"6579f394d70dff89928ee832","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1440x960","1440x825",NA,NA,0,"Attention Check 2 (Clone)",1,"IJHAGBFCED","Passed AC2","","Self_focused_attention_first","1-0","1","SUPPRF21120"
"1",1702492254758,"13/12/2023 18:30:54",1702492254758,0,"13/12/2023 18:30:54",157047,5,"questionnaire-wop8",NA,33647266,9958550,NA,"complete",NA,"6579f4c9a63d54420e4e3405","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1800x911",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADJEIFHG","Passed AC2","","External_attention_first","1-0","1","SUPPRF76142"
"1",1702492331243,"13/12/2023 18:32:11",1702492331243,0,"13/12/2023 18:32:11",157047,5,"questionnaire-wop8",NA,33647301,9958565,NA,"complete",NA,"6579f6656ceae4a140d7284a","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x739",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFJGIH","Passed AC2","","External_attention_first","1-0","1","SUPPRF14695"
"1",1702492893133,"13/12/2023 18:41:33",1702492893133,0,"13/12/2023 18:41:33",157047,5,"questionnaire-wop8",NA,33647505,9958617,NA,"complete",NA,"6579f7be45eebb6b2b8eea0f","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x747",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHJI","Passed AC2","","Self_focused_attention_first","1-0","1","SUPPRF33974"
"1",1702493211400,"13/12/2023 18:46:51",1702493211400,0,"13/12/2023 18:46:51",157047,5,"questionnaire-wop8",NA,33647634,9958623,NA,"complete",NA,"6579f88fa880780f5ec4dcd3","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","External_attention_first","1-0","1","SUPPRF61954"
