"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.af8t","Rating.Scale.object.2.Fear.of.embarrassment.causes.me.to.avoid.doing.things.or.speaking.to.people.","Rating.Scale.object.2.Fear.of.embarrassment.causes.me.to.avoid.doing.things.or.speaking.to.people..Quantised","Rating.Scale.object.2.I.avoid.activities.in.which.I.am.the.center.of.attention.","Rating.Scale.object.2.I.avoid.activities.in.which.I.am.the.center.of.attention..Quantised","Rating.Scale.object.2.Being.embarrassed.or.looking.stupid.are.among.my.worst.fears.","Rating.Scale.object.2.Being.embarrassed.or.looking.stupid.are.among.my.worst.fears..Quantised","Score..SPINScore","Random_ID"
"1",1702492182985,"13/12/2023 18:29:42",1702492182985,0,"13/12/2023 18:29:42",157047,5,"questionnaire-4h2a",NA,33647237,9958565,NA,"complete",NA,"6579f6656ceae4a140d7284a","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x739",NA,NA,0,"Mini-SPIN",2,"CDBEAFJGIH","Passed AC2","","External_attention_first","0","1","0","1","0","1","0","SUPPRF14695"
"1",1702492786838,"13/12/2023 18:39:46",1702492786838,0,"13/12/2023 18:39:46",157047,5,"questionnaire-4h2a",NA,33647472,9958617,NA,"complete",NA,"6579f7be45eebb6b2b8eea0f","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x747",NA,NA,0,"Mini-SPIN",2,"DECFBGAHJI","Passed AC2","","Self_focused_attention_first","0","1","2","3","1","2","3","SUPPRF33974"
"1",1702493202030,"13/12/2023 18:46:42",1702493202030,0,"13/12/2023 18:46:42",157047,5,"questionnaire-4h2a",NA,33647631,9958623,NA,"complete",NA,"6579f88fa880780f5ec4dcd3","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"Mini-SPIN",2,"EFDGCHBIAJ","Passed AC2","","External_attention_first","2","3","1","2","2","3","5","SUPPRF61954"
"1",1702493931870,"13/12/2023 18:58:51",1702475931870,-5,"13/12/2023 08:58:51",157047,5,"questionnaire-4h2a",NA,33647865,9958649,NA,"complete",NA,"6579f9f657e6bd9df97dc5f6","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1366x768","1366x612",NA,NA,0,"Mini-SPIN",2,"FGEHDICJBA","Passed AC2","","Self_focused_attention_first","4","5","3","4","3","4","10","SUPPRF49764"
"1",1702493996987,"13/12/2023 18:59:56",1702475996987,-5,"13/12/2023 08:59:56",157047,5,"questionnaire-4h2a",NA,33647875,9958700,NA,"complete",NA,"6579fd63922f0206731c9fcd","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1280x720","1280x632",NA,NA,0,"Mini-SPIN",2,"GHFIEJDACB","Passed AC2","","External_attention_first","2","3","2","3","3","4","7","SUPPRF92791"
"1",1702494347895,"13/12/2023 19:05:47",1702476347895,-5,"13/12/2023 09:05:47",157047,5,"questionnaire-4h2a",NA,33647998,9958736,NA,"complete",NA,"6579ffbfd8a48d68d1907fc0","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1600x900","1600x751",NA,NA,0,"Mini-SPIN",2,"HIGJFAEBDC","Passed AC2","","Self_focused_attention_first","2","3","2","3","3","4","7","SUPPRF64663"
"1",1702494668996,"13/12/2023 19:11:08",1702498268996,1,"13/12/2023 21:11:08",157047,5,"questionnaire-4h2a",NA,33648110,9958759,NA,"complete",NA,"6579ffca36fd1eb86db52566","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1600x900","1600x773",NA,NA,0,"Mini-SPIN",2,"IJHAGBFCED","Passed AC2","","Self_focused_attention_first","0","1","0","1","0","1","0","SUPPRF09275"
"1",1702495279129,"13/12/2023 19:21:19",1702498879129,1,"13/12/2023 21:21:19",157047,5,"questionnaire-4h2a",NA,33648310,9958788,NA,"complete",NA,"657a0211e01645c641be8985","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","610x738",NA,NA,0,"Mini-SPIN",2,"JAIBHCGDFE","Failed AC2","Passed AC1","External_attention_first","1","2","2","3","3","4","6","SUPPRF25764"
"1",1702495760130,"13/12/2023 19:29:20",1702474160130,-6,"13/12/2023 07:29:20",157047,5,"questionnaire-4h2a",NA,33648439,9958818,NA,"complete",NA,"657a041e453e501981a48244","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 111.0.0.0","1440x900","1440x821",NA,NA,0,"Mini-SPIN",2,"BCADJEIFHG","Passed AC2","","External_attention_first","1","2","2","3","2","3","5","SUPPRF96766"
"1",1702496165353,"13/12/2023 19:36:05",1702474565353,-6,"13/12/2023 07:36:05",157047,5,"questionnaire-4h2a",NA,33648553,9958835,NA,"complete",NA,"657a03f251784acbbc968334","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"Mini-SPIN",2,"CDBEAFJGIH","Passed AC2","","Self_focused_attention_first","4","5","4","5","4","5","12","SUPPRF15646"
"1",1702496473129,"13/12/2023 19:41:13",1702467673129,-8,"13/12/2023 03:41:13",157047,5,"questionnaire-4h2a",NA,33648617,9958831,NA,"complete",NA,"657a013563b921afefbe8823","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1280x800","1280x639",NA,NA,0,"Mini-SPIN",2,"DECFBGAHJI","Passed AC2","","Self_focused_attention_first","0","1","0","1","0","1","0","SUPPRF70678"
"1",1702497582860,"13/12/2023 19:59:42",1702475982860,-6,"13/12/2023 07:59:42",157047,5,"questionnaire-4h2a",NA,33648867,9958903,NA,"complete",NA,"657a0b639991455e828a5bad","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1542x758","1536x750",NA,NA,0,"Mini-SPIN",2,"HIGJFAEBDC","Passed AC2","","Self_focused_attention_first","1","2","2","3","2","3","5","SUPPRF85554"
"1",1702497603122,"13/12/2023 20:00:03",1702468803122,-8,"13/12/2023 04:00:03",157047,5,"questionnaire-4h2a",NA,33648875,9958901,NA,"complete",NA,"657a0903cc921a57cf50ae0f","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1512x982","1512x828",NA,NA,0,"Mini-SPIN",2,"GHFIEJDACB","Passed AC2","","External_attention_first","1","2","2","3","3","4","6","SUPPRF71127"
"1",1702497615073,"13/12/2023 20:00:15",1702472415073,-7,"13/12/2023 06:00:15",157047,5,"questionnaire-4h2a",NA,33648877,9958898,NA,"complete",NA,"657a0ad8376b4cbf1cc17c74","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x730",NA,NA,0,"Mini-SPIN",2,"FGEHDICJBA","Passed AC2","","External_attention_first","1","2","0","1","1","2","2","SUPPRF05707"
"1",1702497857677,"13/12/2023 20:04:17",1702479857677,-5,"13/12/2023 10:04:17",157047,5,"questionnaire-4h2a",NA,33648928,9958859,NA,"complete",NA,"657a075716177c7c60bfb849","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","929x916",NA,NA,0,"Mini-SPIN",2,"EFDGCHBIAJ","Passed AC2","","Self_focused_attention_first","0","1","0","1","0","1","0","SUPPRF30509"
"1",1702497886183,"13/12/2023 20:04:46",1702497886183,0,"13/12/2023 20:04:46",157047,5,"questionnaire-4h2a",NA,33648937,9958939,NA,"complete",NA,"657a0c281916bca7b797b8d1","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x919",NA,NA,0,"Mini-SPIN",2,"IJHAGBFCED","Passed AC2","","Self_focused_attention_first","4","5","4","5","4","5","12","SUPPRF18856"
"1",1702498610473,"13/12/2023 20:16:50",1702498610473,0,"13/12/2023 20:16:50",157047,5,"questionnaire-4h2a",NA,33649141,9958990,NA,"complete",NA,"657a0f75376b4cbf1cc17d66","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x739",NA,NA,0,"Mini-SPIN",2,"ABJCIDHEGF","Passed AC2","","External_attention_first","1","2","0","1","1","2","2","SUPPRF23580"
"1",1702498845367,"13/12/2023 20:20:45",1702480845367,-5,"13/12/2023 10:20:45",157047,5,"questionnaire-4h2a",NA,33649221,9958998,NA,"complete",NA,"657a10edbb15e13810507dd0","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","1504x925",NA,NA,0,"Mini-SPIN",2,"BCADJEIFHG","Passed AC2","","External_attention_first","2","3","1","2","3","4","6","SUPPRF67062"
"1",1702500059230,"13/12/2023 20:40:59",1702482059230,-5,"13/12/2023 10:40:59",157047,5,"questionnaire-4h2a",NA,33649996,9959120,NA,"complete",NA,"657a13e6bb586490994f1f47","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x911",NA,NA,0,"Mini-SPIN",2,"DECFBGAHJI","Passed AC2","","External_attention_first","1","2","3","4","2","3","6","SUPPRF72971"
"1",1702501683887,"13/12/2023 21:08:03",1702480083887,-6,"13/12/2023 09:08:03",157047,5,"questionnaire-4h2a",NA,33650980,9959253,NA,"complete",NA,"657a1a8c81def8178c4b079b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1280x720","1280x551",NA,NA,0,"Mini-SPIN",2,"FGEHDICJBA","Passed AC2","","External_attention_first","2","3","1","2","1","2","4","SUPPRF80125"
"1",1702501750084,"13/12/2023 21:09:10",1702501750084,0,"13/12/2023 21:09:10",157047,5,"questionnaire-4h2a",NA,33651043,9959314,NA,"complete",NA,"657a1c0b5c7577dc0efc009f","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x735",NA,NA,0,"Mini-SPIN",2,"GHFIEJDACB","Passed AC2","","Self_focused_attention_first","3","4","3","4","2","3","8","SUPPRF99862"
