"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.qny1","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID_new"
1,1714566953846,"01/05/2024 12:35:53",1714570553846,1,"01/05/2024 14:35:53",177048,7,"questionnaire-xamc",NA,37380391,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1920x1080","1920x991",NA,NA,0,"Attention Check 1 (Clone)",1,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4",1,2,"SUPSCO24387"
1,1714749189124,"03/05/2024 15:13:09",1714752789124,1,"03/05/2024 17:13:09",177048,7,"questionnaire-xamc",NA,37442894,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1366x768","1366x641",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADHEGF","Passed AC2",NA,"spreadsheet_3",1,2,"SUPSCO46030"
1,1715174518704,"08/05/2024 13:21:58",1715178118704,1,"08/05/2024 15:21:58",177048,7,"questionnaire-xamc",NA,37553114,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1280x720","1280x585",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFHG","Passed AC2",NA,"spreadsheet_5",1,2,"SUPSCO52921"
