"Trial.Number","Random_ID","Mood","Anxiety","fdbk","SubjPE","PE","Certainty_Rating","m_hist","Prediction","pilot_nr","pilot_details"
1,"SUPPRF18834",77,72,67,2,-13,76,80,65,"Pilot 6","Pilot 6: feedback + text"
2,"SUPPRF18834",86,57,96,36,16,64,80,60,"Pilot 6","Pilot 6: feedback + text"
3,"SUPPRF18834",53,43,19,-35,-1,46,20,54,"Pilot 6","Pilot 6: feedback + text"
4,"SUPPRF18834",65,40,68,27,14,77,54,41,"Pilot 6","Pilot 6: feedback + text"
5,"SUPPRF18834",70,38,80,22,0,64,80,58,"Pilot 6","Pilot 6: feedback + text"
6,"SUPPRF18834",55,39,65,28,19,65,46,37,"Pilot 6","Pilot 6: feedback + text"
7,"SUPPRF18834",63,36,51,18,14,73,37,33,"Pilot 6","Pilot 6: feedback + text"
8,"SUPPRF18834",64,34,56,-5,-15,79,71,61,"Pilot 6","Pilot 6: feedback + text"
9,"SUPPRF18834",50,33,48,18,19,69,29,30,"Pilot 6","Pilot 6: feedback + text"
10,"SUPPRF18834",45,22,55,-11,1,74,54,66,"Pilot 6","Pilot 6: feedback + text"
11,"SUPPRF18834",50,23,78,18,15,71,63,60,"Pilot 6","Pilot 6: feedback + text"
12,"SUPPRF18834",56,32,37,17,17,74,20,20,"Pilot 6","Pilot 6: feedback + text"
13,"SUPPRF18834",46,17,33,-7,-13,40,46,40,"Pilot 6","Pilot 6: feedback + text"
14,"SUPPRF18834",60,22,70,10,-1,83,71,60,"Pilot 6","Pilot 6: feedback + text"
15,"SUPPRF18834",41,19,77,23,14,39,63,54,"Pilot 6","Pilot 6: feedback + text"
16,"SUPPRF18834",45,23,83,34,12,31,71,49,"Pilot 6","Pilot 6: feedback + text"
17,"SUPPRF18834",34,24,34,-15,-12,28,46,49,"Pilot 6","Pilot 6: feedback + text"
18,"SUPPRF18834",40,8,49,9,12,63,37,40,"Pilot 6","Pilot 6: feedback + text"
