"","Status","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Mild.cognitive.impairment.dementia","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Random_ID"
"20","APPROVED","2023-10-27T15:29:33.122000Z","2023-10-27T16:16:37.453000Z","2023-10-28T18:30:11.883000Z","2023-10-27T16:16:37.889756Z",2825,"C6UC3A24",5,"English","No","18","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","DATA_EXPIRED","SUPPRF87860"
"21","APPROVED","2023-10-27T15:30:42.858000Z","2023-10-27T16:10:24.596000Z","2023-10-28T18:30:12.029000Z","2023-10-27T16:10:24.965388Z",2382,"NOCODE",467,"English","No","22","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time","SUPPRF30226"
"22","APPROVED","2023-10-27T15:30:59.798000Z","2023-10-27T16:24:19.230000Z","2023-10-28T18:30:12.205000Z","2023-10-27T16:24:19.807733Z",3200,"C6UC3A24",314,"English","No","24","Male","Mixed","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","SUPPRF77733"
"23","APPROVED","2023-10-27T15:39:16.275000Z","2023-10-27T16:28:12.349000Z","2023-10-28T18:30:12.395000Z","2023-10-27T16:28:12.900265Z",2937,"C6UC3A24",6,"English","No","18","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)","SUPPRF90136"
"24","APPROVED","2023-10-27T15:32:34.821000Z","2023-10-27T16:09:58.048000Z","2023-10-28T18:30:12.525000Z","2023-10-27T16:09:58.552177Z",2244,"C6UC3A24",381,"English","No","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","SUPPRF21477"
"25","APPROVED","2023-10-27T15:36:28.436000Z","2023-10-27T16:30:08.932000Z","2023-10-28T18:30:12.711000Z","2023-10-27T16:30:09.532058Z",3221,"C6UC3A24",761,"English","No","23","Male","Black","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time","SUPPRF19517"
"26","APPROVED","2023-10-27T15:39:52.402000Z","2023-10-27T16:24:09.806000Z","2023-10-28T18:30:12.838000Z","2023-10-27T16:24:10.361246Z",2658,"C6UC3A24",37,"Arabic, English","No","22","Female","Other","United Kingdom","United Kingdom","United Kingdom","Arabic","No","Due to start a new job within the next month","SUPPRF80658"
"27","APPROVED","2023-10-27T15:39:11.427000Z","2023-10-27T16:34:46.745000Z","2023-10-28T18:30:12.960000Z","2023-10-27T16:34:47.172605Z",3336,"C6UC3A24",603,"English","No","23","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","SUPPRF48856"
"28","APPROVED","2023-10-27T15:40:35.598000Z","2023-10-27T16:24:33.422000Z","2023-10-28T18:30:13.138000Z","2023-10-27T16:24:33.872140Z",2638,"C6UC3A24",132,"English","No","24","Female","Asian","United Kingdom","United Kingdom","United Kingdom","English","Yes","Other","SUPPRF88012"
"29","APPROVED","2023-10-27T15:41:30.196000Z","2023-10-27T17:10:40.456000Z","2023-10-28T18:30:13.307000Z","2023-10-27T17:10:40.948928Z",5351,"C6UC3A24",789,"English","No","22","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","SUPPRF34485"
"30","APPROVED","2023-10-27T15:42:32.773000Z","2023-10-27T16:50:00.955000Z","2023-10-28T18:30:13.475000Z","2023-10-27T16:50:01.409286Z",4049,"C6UC3A24",683,"English","No","25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","SUPPRF79962"
"31","APPROVED","2023-10-27T15:43:17.079000Z","2023-10-27T16:47:02.555000Z","2023-10-28T18:30:13.639000Z","2023-10-27T16:47:03.093847Z",3826,"C6UC3A24",254,"Chinese, English","No","20","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)","SUPPRF51200"
"32","APPROVED","2023-10-27T15:42:14.275000Z","2023-10-27T16:21:07.777000Z","2023-10-28T18:30:13.825000Z","2023-10-27T16:21:08.370331Z",2334,"C6UC3A24",47,"English","No","21","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)","SUPPRF25745"
"33","APPROVED","2023-10-27T15:42:47.262000Z","2023-10-27T16:23:04.145000Z","2023-10-28T18:30:13.950000Z","2023-10-27T16:23:04.685841Z",2417,"C6UC3A24",79,"English","No","21","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","SUPPRF03421"
"34","APPROVED","2023-10-27T15:43:16.689000Z","2023-10-27T16:21:01.315000Z","2023-10-28T18:30:14.293000Z","2023-10-27T16:21:01.807990Z",2265,"C6UC3A24",843,"English","No","24","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF01236"
"35","APPROVED","2023-10-27T15:44:20.218000Z","2023-10-27T16:37:09.316000Z","2023-10-28T18:30:14.475000Z","2023-10-27T16:37:09.797476Z",3170,"C6UC3A24",235,"English, Polish","No","24","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","SUPPRF86181"
"36","APPROVED","2023-10-27T15:45:39.843000Z","2023-10-27T17:13:00.854000Z","2023-10-28T18:30:14.598000Z","2023-10-27T17:13:01.344323Z",5242,"NOCODE",773,"English","No","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","DATA_EXPIRED","SUPPRF00818"
"37","APPROVED","2023-10-27T15:45:19.699000Z","2023-10-27T17:05:58.878000Z","2023-10-28T18:30:15.089000Z","2023-10-27T17:05:59.443552Z",4840,"C6UC3A24",428,"English","No","24","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","SUPPRF44058"
"38","APPROVED","2023-10-27T15:45:24.781000Z","2023-10-27T16:27:19.435000Z","2023-10-28T18:30:15.212000Z","2023-10-27T16:27:20.010241Z",2515,"C6UC3A24",903,"English","No","23","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)","SUPPRF21828"
"39","APPROVED","2023-10-27T16:35:03.521000Z","2023-10-27T17:15:53.946000Z","2023-10-28T18:30:15.363000Z","2023-10-27T17:15:54.556455Z",2451,"C6UC3A24",243,"English, Polish","No","20","Male","White","Poland","United Kingdom","Poland","Polish","No","Full-Time","SUPPRF28831"
"40","APPROVED","2023-10-27T17:45:19.558000Z","2023-10-27T18:44:55.774000Z","2023-10-28T18:30:15.503000Z","2023-10-27T18:44:56.368230Z",3577,"C6UC3A24",935,"English","No","23","Prefer not to say","Other","United States","United States","United States","English","No","Full-Time","SUPPRF14681"
"41","APPROVED","2023-10-27T15:34:39.638000Z","2023-10-28T18:29:51.480000Z","2023-10-28T18:29:51.690000Z","",96912,"Manual Completion",311,"English","No","25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF69688"
